scenario,year,ensemble_mean,sd,n_models
historical,1971,13.883133333333333,0.6286963445316432,35
historical,1972,13.862688095238095,0.583050667278507,35
historical,1973,13.897661904761906,0.6110758422861085,35
historical,1974,13.923842857142857,0.6157950934595463,35
historical,1975,13.893002380952382,0.6191119105593528,35
historical,1976,13.913833333333333,0.6052582090244651,35
historical,1977,13.95765238095238,0.6084848020151201,35
historical,1978,13.956316666666666,0.6256700854942268,35
historical,1979,13.991742857142857,0.6203336064086507,35
historical,1980,14.016980952380953,0.6089832336566282,35
historical,1981,14.036966666666666,0.6308526391870615,35
historical,1982,14.01192619047619,0.6164644040220304,35
historical,1983,13.895726190476191,0.6636825001593311,35
historical,1984,13.96329761904762,0.6781001891595974,35
historical,1985,14.018871428571428,0.6565601272632624,35
historical,1986,14.051735714285714,0.6289268850595435,35
historical,1987,14.090826190476191,0.5911965642683554,35
historical,1988,14.143295238095238,0.5924372730725819,35
historical,1989,14.187011904761905,0.5901140527373462,35
historical,1990,14.258042857142858,0.5967752144702189,35
historical,1991,14.240745238095238,0.6028336396017402,35
historical,1992,13.937511904761905,0.5975344604547138,35
historical,1993,13.98265,0.5875304145930621,35
historical,1994,14.109333333333334,0.6020115948848634,35
historical,1995,14.166040476190476,0.5920904338452646,35
historical,1996,14.236973809523809,0.5743060193920112,35
historical,1997,14.30982619047619,0.5945241421721945,35
historical,1998,14.323642857142858,0.5796025065447044,35
historical,1999,14.342269047619048,0.6078230464828294,35
historical,2000,14.408766666666667,0.6009349332797584,35
historical,2001,14.472559523809524,0.6125026315707868,35
historical,2002,14.47082619047619,0.6268441845368552,35
historical,2003,14.52867619047619,0.6048810130424901,35
historical,2004,14.55085,0.6154654655603233,35
historical,2005,14.561640476190476,0.5994248815590821,35
historical,2006,14.553388095238095,0.5808180449020561,35
historical,2007,14.57737619047619,0.5863989276572816,35
historical,2008,14.613783333333334,0.613541681297646,35
historical,2009,14.638040476190476,0.6107023397551757,35
historical,2010,14.67452619047619,0.598534885618252,35
historical,2011,14.687421428571428,0.5910332452187285,35
historical,2012,14.728983333333334,0.5707541353389706,35
historical,2013,14.74490238095238,0.6156871222880611,35
historical,2014,14.771416666666667,0.6235203550566211,35
ssp126,2015,14.838252604166666,0.5866083947738595,32
ssp126,2016,14.85071875,0.5511873294173361,32
ssp126,2017,14.879125,0.5773887451213711,32
ssp126,2018,14.918674479166667,0.5894767443676278,32
ssp126,2019,14.997296875,0.6223030337642694,32
ssp126,2020,15.018028645833333,0.5851175224328558,32
ssp126,2021,15.042901041666667,0.5589298123577319,32
ssp126,2022,15.072869791666667,0.5686668730608464,32
ssp126,2023,15.091674479166667,0.580543220369135,32
ssp126,2024,15.134606770833333,0.5992537026210241,32
ssp126,2025,15.171494791666667,0.5880358118443338,32
ssp126,2026,15.1730625,0.5785897041072583,32
ssp126,2027,15.1947578125,0.5954636447525092,32
ssp126,2028,15.229674479166667,0.6198127580162577,32
ssp126,2029,15.22971875,0.6449112507883307,32
ssp126,2030,15.243239583333333,0.6270819934433581,32
ssp126,2031,15.259205729166666,0.5980972221799558,32
ssp126,2032,15.2726015625,0.594405966731501,32
ssp126,2033,15.3030859375,0.6413371491865189,32
ssp126,2034,15.306768229166666,0.6381625044214454,32
ssp126,2035,15.3435859375,0.6385080074481736,32
ssp126,2036,15.3979453125,0.6307507153216333,32
ssp126,2037,15.424583333333333,0.6537492963461743,32
ssp126,2038,15.429872395833334,0.6546757795558694,32
ssp126,2039,15.442231770833333,0.6272787232603907,32
ssp126,2040,15.416005208333333,0.6388069868586705,32
ssp126,2041,15.44221875,0.6070908381208588,32
ssp126,2042,15.4918125,0.6413944241632216,32
ssp126,2043,15.5301953125,0.651876942881181,32
ssp126,2044,15.494447916666667,0.6396113714039263,32
ssp126,2045,15.50153125,0.6356697741091282,32
ssp126,2046,15.5683359375,0.6755754010684831,32
ssp126,2047,15.553263020833333,0.6756999809136515,32
ssp126,2048,15.5786171875,0.6420641601037113,32
ssp126,2049,15.595682291666666,0.6726941950356954,32
ssp126,2050,15.592489583333334,0.6888362178438653,32
