scenario,year,co2_ppm,ch4_ppb,n2o_ppb,co2_PgC,ch4_co2e_ppm,n2o_co2e_ppm,ch4_PgC_equiv,n2o_PgC_equiv,total_PgC_equiv
ssp126,2065,473.94578043619794,1348.1158854166667,346.67268625895184,1006.6608376464844,40.17385338541667,94.64164334869386,85.32926459062502,201.0188504726258,1293.0089527097352
ssp126,2066,473.85479227701825,1337.8815002441406,346.86123911539715,1006.4675787963868,39.86886870727539,94.69311827850343,84.68147713425293,201.1281832235413,1292.277239154181
ssp126,2067,473.72168223063153,1327.6876017252605,347.04815673828125,1006.1848530578615,39.565090531412764,94.74414678955078,84.03625228872072,201.23656778100587,1291.457673127588
ssp126,2068,473.5453338623047,1317.523173014323,347.23502858479816,1005.8102891235352,39.26219055582683,94.7951628036499,83.39289274057619,201.3449257949524,1290.5481076590638
ssp126,2069,473.32513427734375,1307.3994445800781,347.41959381103516,1005.3425852050782,38.96050344848633,94.84554911041259,82.75210932458496,201.45194631051635,1289.5466408401796
ssp126,2070,473.0631383260091,1297.3041585286458,347.6023763020833,1004.7861058044434,38.65966392415365,94.89544873046874,82.11312617490235,201.5579331035156,1288.4571650828614
ssp126,2071,472.7559356689453,1287.237772623698,347.7842661539714,1004.1336073608398,38.359685624186206,94.94510466003419,81.4759722657715,201.66340229791263,1287.272981924524
ssp126,2072,472.39269256591797,1277.161885579427,347.9665222167969,1003.3620790100098,38.05942419026693,94.99486056518555,80.83821698012697,201.7690838404541,1285.969379830591
ssp126,2073,471.96488189697266,1267.0334167480469,348.15069580078125,1002.4534091491699,37.7575958190918,95.04513995361327,80.19713351975098,201.8758772614746,1284.5264199303956
ssp126,2074,471.4744364420573,1256.8671773274739,348.3347625732422,1001.4117030029298,37.45464188435872,95.09539018249512,79.55365936237793,201.98260874761965,1282.9479711129275
ssp126,2075,470.9209925333659,1246.6622212727864,348.5212682088216,1000.2361881408692,37.15053419392904,95.1463062210083,78.90773462790528,202.09075441342165,1281.234677182196
ssp126,2076,470.3069203694661,1236.4377543131511,348.70931752522785,998.9318988647461,36.8458450785319,95.1976436843872,78.26057494680177,202.19979518563844,1279.3922689971864
ssp126,2077,469.63151295979816,1226.1715494791667,348.89746856689453,997.4973335266113,36.53991217447917,95.2490089187622,77.61077345859375,202.30889494345092,1277.417001928656
ssp126,2078,468.8943913777669,1215.8895467122395,349.08780161539715,995.9316872863769,36.23350849202474,95.30096984100342,76.95997203706055,202.4192599422913,1275.310919265729
ssp126,2079,468.0985972086589,1205.585957845052,349.2789789835612,994.2414204711915,35.92646154378255,95.3531612625122,76.30780431899414,202.53011452157594,1273.0793393117617
ssp126,2080,467.2422129313151,1195.2605387369792,349.47229766845703,992.4224602661134,35.61876405436198,95.40593726348878,75.65425485146486,202.64221074765018,1270.7189258652284
ssp126,2081,466.3275629679362,1184.9477844238281,349.66649119059247,990.4797437438966,35.31144397583008,95.45895209503173,75.0015070046631,202.7548142498474,1268.236064998407
ssp126,2082,465.37449645996094,1174.9544576009114,349.8643976847331,988.455430480957,35.01364283650716,95.51298056793213,74.36897738474121,202.86957072628786,1265.6939785919863
ssp126,2083,464.3951059977214,1165.4938049316406,350.06833902994794,986.3752051391602,34.73171538696289,95.56865655517579,73.77016348190918,202.9878265231934,1263.1331951442628
ssp126,2084,463.3872706095378,1156.5089213053386,350.2772038777669,984.2345627746583,34.46396585489909,95.62567665863037,73.20146347580567,203.1089372229309,1260.544963473395
ssp126,2085,462.3515218098958,1147.9726867675781,350.4922154744466,982.0346323242187,34.20958606567383,95.68437482452391,72.66116080349123,203.2336121272888,1257.9294052549988
ssp126,2086,461.28532155354816,1139.8490498860676,350.71192932128906,979.7700229797364,33.96750168660481,95.74435670471192,72.14697358234862,203.36101364080812,1255.278010202893
ssp126,2087,460.1895116170247,1132.1119486490886,350.9369176228841,977.4425226745606,33.736936069742846,95.80577851104735,71.65725221213381,203.4914735574646,1252.591248444159
ssp126,2088,459.06443277994794,1124.7286987304688,351.16784922281903,975.0528552246095,33.51691522216797,95.8688228378296,71.18992793188477,203.62537970755008,1249.8681628640443
ssp126,2089,457.9083887736003,1117.6720377604167,351.4036127726237,972.597417755127,33.30662672526042,95.93318628692627,70.74327516445314,203.7620876734314,1247.1027805930114
ssp126,2090,456.7231928507487,1110.9209899902344,351.64462025960285,970.0800616149903,33.105445501708985,95.99898133087159,70.3159662456299,203.90183634677126,1244.2978642073915
ssp126,2091,455.5089619954427,1104.4463806152344,351.8912302652995,967.5010352783203,32.91250214233399,96.06630586242676,69.9061545503174,204.04483365179445,1241.4520234804322
ssp126,2092,454.3018544514974,1098.2387797037761,352.1365966796875,964.9371388549805,32.72751563517253,96.13329089355469,69.51324320910646,204.18710985791017,1238.6374919219973
ssp126,2093,453.1235097249349,1092.2542928059895,352.3779525756836,962.4343346557617,32.54917792561849,96.19918105316162,69.13445391401368,204.3270605569153,1235.8958491266908
ssp126,2094,451.9680811564128,1086.4916890462239,352.6151936848958,959.9802043762207,32.37745233357747,96.26394787597656,68.76970875651855,204.4646252885742,1233.2145384213136
ssp126,2095,450.8360239664714,1080.9331970214844,352.84739176432294,957.5757149047853,32.211809271240234,96.32733795166017,68.41788289211426,204.5992658093262,1230.5928636062258
ssp126,2096,449.72403208414715,1075.5529276529949,353.07580820719403,955.2138441467287,32.05147724405925,96.38969564056397,68.07733766638185,204.73171354055788,1228.0228953536684
ssp126,2097,448.6301752726237,1070.3511454264324,353.3000793457031,952.8904922790529,31.89646413370768,96.45092166137695,67.74808981999512,204.86175760876466,1225.5003397078126
ssp126,2098,447.55517323811847,1065.2953491210938,353.52046966552734,950.6071879577637,31.745801403808592,96.51108821868897,67.42808218168945,204.98955137649537,1223.0248215159486
ssp126,2099,446.4956537882487,1060.4002075195312,353.7366027832031,948.3567686462403,31.599926184082033,96.57009255981446,67.11824321499024,205.1148765970459,1220.5898884582764
ssp126,2100,445.4509735107422,1055.6212463378906,353.9481150309245,946.1378677368165,31.457513140869143,96.62783540344239,66.81575791120606,205.23752239691166,1218.1911480449342
ssp245,2022,420.4425735473633,1932.9007364908855,333.6809768676758,893.0200262145996,57.600441947428386,91.09490668487548,122.3433386963379,193.48558179867553,1208.848946709613
ssp245,2023,423.37098439534503,1942.7501017252605,334.4634323120117,899.2399708557128,57.893953031412764,91.3085170211792,122.96675623872072,193.93929015298463,1216.146017247418
ssp245,2024,426.3163477579753,1952.2413431803386,335.25195566813153,905.4959226379395,58.176792026774095,91.52378389739991,123.56750626486819,194.39651699807743,1223.4599459008853
ssp245,2025,429.2788950602214,1961.404805501302,336.04641977945965,911.7883731079103,58.449863203938804,91.74067259979249,124.14750944516602,194.85718860195925,1230.7930711550355
ssp245,2026,432.2616271972656,1970.271504720052,336.84579213460285,918.1236961669922,58.714090840657555,91.95890125274659,124.70872894555666,195.32070626083376,1238.1531313733826
ssp245,2027,435.2641906738281,1978.8572285970051,337.6502990722656,924.501140991211,58.969945412190754,92.17853164672852,125.25216405549317,195.7872012176514,1245.5405062643554
ssp245,2028,438.2870686848958,1987.1780802408855,338.4607213338216,930.9217338867188,59.21790679117839,92.39977692413329,125.77883402446291,196.25712618685913,1252.9576940980407
