year,ssp126_co2_ppm,ssp126_co2_PgC,ssp126_ch4_ppb,ssp126_ch4_PgC_equiv,ssp126_n2o_ppb,ssp126_n2o_PgC_equiv,ssp126_total_PgC_equiv,ssp245_co2_ppm,ssp245_co2_PgC,ssp245_ch4_ppb,ssp245_ch4_PgC_equiv,ssp245_n2o_ppb,ssp245_n2o_PgC_equiv,ssp245_total_PgC_equiv,ssp370_co2_ppm,ssp370_co2_PgC,ssp370_ch4_ppb,ssp370_ch4_PgC_equiv,ssp370_n2o_ppb,ssp370_n2o_PgC_equiv,ssp370_total_PgC_equiv,ssp585_co2_ppm,ssp585_co2_PgC,ssp585_ch4_ppb,ssp585_ch4_PgC_equiv,ssp585_n2o_ppb,ssp585_n2o_PgC_equiv,ssp585_total_PgC_equiv
39,473.5989863,1005.924247,1410.587046,89.28338921,345.5045675,200.3415145,1295.549151,534.6724904,1135.64437,1949.979909,123.4243684,362.678566,210.2998918,1469.36863,588.6359049,1250.262662,2639.340007,167.0575536,372.1040293,215.7652656,1633.085481,635.5911458,1349.995594,2604.03186,164.8227174,365.4810079,211.9248934,1726.743205
40,473.7752609,1006.298654,1399.920603,88.60825458,345.7041245,200.457228,1295.364137,537.5672963,1141.792937,1940.406433,122.8184133,363.3358078,210.6809948,1475.292346,594.1565094,1261.988426,2657.772502,168.224242,373.2526957,216.4313221,1646.64399,644.55218,1369.02883,2614.278076,165.4712537,366.258283,212.3755979,1746.875682
41,473.8944397,1006.55179,1389.436086,87.94463495,345.9016978,200.5717913,1295.068216,540.4351654,1147.884291,1930.583669,122.1966794,363.981898,211.0556315,1481.136602,599.7340342,1273.835089,2676.216899,169.3916838,374.4043121,217.0990892,1660.325862,653.7171885,1388.495308,2623.479757,166.0536759,367.0316696,212.8240477,1767.373032
42,473.9684423,1006.708971,1379.045736,87.28697565,346.0963618,200.6846676,1294.680615,543.2649638,1153.894783,1920.853617,121.5808139,364.6156947,211.4231398,1486.898737,605.3696645,1285.805167,2694.703023,170.5617668,375.5611776,217.7698999,1674.136834,663.0860087,1408.394682,2631.726074,166.5756282,367.8008575,213.2700628,1788.240374
43,474.001742,1006.7797,1368.69102,86.63157183,346.290156,200.7970396,1294.208311,546.0493927,1159.80891,1911.43457,120.9846334,365.2353134,211.782427,1492.57597,611.0620117,1297.895713,2713.21995,171.7337994,376.7216492,218.4428017,1688.072314,672.6580811,1428.725764,2639.092773,167.0419049,368.563563,213.7123191,1809.479988
44,473.9948781,1006.765121,1358.379639,85.97891091,346.48187,200.9082053,1293.652237,548.7901001,1165.630173,1902.277802,120.4050539,365.8409958,212.1336331,1498.16886,616.811849,1310.108367,2731.786112,172.9089483,377.8852844,219.1175379,1702.134853,682.4364065,1449.494927,2645.642293,167.4564581,369.3184153,214.1500218,1831.101407
45,473.9457804,1006.660838,1348.115885,85.32926459,346.6726863,201.0188505,1293.008953,551.4867605,1171.357879,1893.391327,119.8425827,366.4326579,212.4767095,1503.677171,622.6216787,1322.448445,2750.369242,174.0851713,379.0528234,219.7945377,1716.328155,692.4210459,1470.702302,2651.45048,167.8240884,370.0673726,214.5843062,1853.110696
46,473.8547923,1006.467579,1337.8815,84.68147713,346.8612391,201.1281832,1292.277239,554.1407318,1176.994914,1884.739665,119.294974,367.0103048,212.8116592,1509.101548,628.4893901,1334.911464,2768.984558,175.2634314,380.2235489,220.4733853,1730.648281,702.6161245,1492.356648,2656.545003,168.1465473,370.809227,215.0144719,1875.517668
47,473.7216822,1006.184853,1327.687602,84.03625229,347.0481567,201.2365678,1291.457673,556.752533,1182.54238,1876.316172,118.7618074,367.574084,213.1385677,1514.442755,634.4175822,1347.502945,2787.615824,176.4427011,381.3991063,221.1550346,1745.10068,713.0211589,1514.456941,2660.990255,168.4279104,371.545311,215.4412917,1898.326143
48,473.5453339,1005.810289,1317.523173,83.39289274,347.2350286,201.3449258,1290.548108,559.3216553,1187.999196,1868.102295,118.2419084,368.1248322,213.4579202,1519.699024,640.4066823,1360.223793,2806.259196,177.6227371,382.5766322,221.8378253,1759.684356,723.6388143,1537.008842,2664.832743,168.6711215,372.2751948,215.8645163,1921.544479
49,473.3251343,1005.342585,1307.399445,82.75210932,347.4195938,201.4519463,1289.546641,561.8507334,1193.370958,1860.105794,117.7357683,368.661555,213.76914,1524.875866,646.4569295,1373.074518,2824.919657,178.8038547,383.7594452,222.5236818,1774.402055,734.4717763,1560.018053,2668.108521,168.8784624,372.9979909,216.283631,1945.180146
50,473.0631383,1004.786106,1297.304159,82.11312617,347.6023763,201.5579331,1288.457165,564.3382365,1198.654414,1852.285431,117.2407768,369.1853994,214.0728922,1529.968083,652.5692698,1386.057129,2843.568705,179.9842499,384.9447759,223.2109982,1789.252377,745.5221812,1583.489113,2670.859599,169.0525925,373.7139257,216.6987672,1969.240473
51,472.7559357,1004.133607,1287.237773,81.47597227,347.7842662,201.6634023,1287.272982,566.7849884,1203.851315,1844.640584,116.7568947,369.6947606,214.3682463,1534.976456,658.743571,1399.171345,2862.231873,181.1655388,386.1334559,223.9002567,1804.23714,756.7880809,1607.417884,2673.104614,169.1946912,374.4239273,217.1104631,1993.723038
52,472.3926926,1003.362079,1277.161886,80.83821698,347.9665222,201.7690838,1285.96938,569.1639353,1208.904199,1837.077006,116.2781565,370.1867065,214.6535022,1539.835857,664.9798889,1412.417284,2880.917684,182.348261,387.326032,224.5917743,1819.357319,768.2485402,1631.759899,2674.431885,169.278701,375.1280263,217.5187363,2018.557337
53,471.9648819,1002.453409,1267.033417,80.19713352,348.1506958,201.8758773,1284.52642,571.4612935,1213.783787,1829.529175,115.800415,370.6593831,214.9275846,1544.511787,671.2781779,1425.79485,2899.65684,183.5343596,388.521492,225.2849642,1834.614174,779.8849792,1656.475696,2674.602539,169.2895026,375.8271281,217.9241119,2043.68931
54,471.4744364,1001.411703,1256.867177,79.55365936,348.3347626,201.9826087,1282.947971,573.6791128,1218.494435,1822.003153,115.324054,371.1121674,215.1901325,1549.008622,677.6386007,1439.304388,2918.430318,184.7226307,389.7200368,225.9799428,1850.006961,791.7047475,1681.580884,2673.736165,169.2346653,376.5201747,218.3259763,2069.141525
55,470.9209925,1000.236188,1246.662221,78.90773463,348.5212682,202.0907544,1281.234677,575.8179423,1223.037309,1814.496012,114.848888,371.5458145,215.4415836,1553.327781,684.0620728,1452.947843,2937.225769,185.9122925,390.9214045,226.6765583,1865.536693,803.7071381,1707.073961,2671.899679,169.1184245,377.2083054,218.7249903,2094.917376
56,470.3069204,998.9318989,1236.437754,78.26057495,348.7093175,202.1997952,1279.392269,577.8790283,1227.415056,1807.010396,114.3750844,371.9585215,215.6808926,1557.471033,690.5487417,1466.725527,2956.060465,187.1044384,392.1248932,227.3744036,1881.204369,815.8953501,1732.961724,2669.187642,168.9467657,377.8903147,219.1204548,2121.028944
57,469.631513,997.4973335,1226.171549,77.61077346,348.8974686,202.3088949,1277.417002,579.8632151,1231.629469,1799.555715,113.9032389,372.3534673,215.9099027,1561.442611,697.1004181,1480.641288,2974.901591,188.2969912,393.3325857,228.0746865,1897.012966,828.2717031,1759.249097,2665.642049,168.7223466,378.5675786,219.5131676,2147.484612
58,468.8943914,995.9316873,1215.889547,76.95997204,349.0878016,202.4192599,1275.310919,581.7716675,1235.683022,1792.130493,113.433258,372.7281799,216.1271806,1565.24346,703.7149811,1494.69062,2993.765564,189.4909901,394.5428721,228.7764735,1912.958083,840.8373973,1785.938632,2661.34257,168.4502102,379.2396037,219.9028427,2174.291685
59,468.0985972,994.2414205,1205.585958,76.30780432,349.278979,202.5301145,1273.079339,583.6049856,1239.576989,1784.735891,112.9652151,373.0851491,216.3341699,1568.876374,710.3948059,1508.878568,3012.634908,190.685329,395.7554143,229.4795685,1929.043465,853.5940806,1813.033827,2656.360799,168.1348881,379.9056651,220.2890597,2201.457775
60,467.2422129,992.4224603,1195.260539,75.65425485,349.4722977,202.6422107,1270.718926,585.3625692,1243.310097,1777.369629,112.4989661,373.4217758,216.5293636,1572.338427,717.1385549,1523.202291,3031.506795,191.8798289,396.9719849,230.1849994,1945.267119,866.5441538,1840.539783,2650.740295,167.7791371,380.56692,220.6724897,2228.99141
61,466.327563,990.4797437,1184.947784,75.001507,349.6664912,202.7548142,1268.236065,587.0452881,1246.884192,1770.058462,112.0362043,373.7411194,216.7145356,1575.634932,723.9501139,1537.670042,3050.367411,193.0736154,398.1902415,230.8914079,1961.635065,879.6822052,1868.445004,2644.503113,167.3843534,381.2228241,221.052817,2256.882174
