"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2038,223.82605555,223.82605555,222.700587944,222.700587944,223.82605555,223.82605555,222.700587944,222.700587944,223.916711711,223.916711711,222.964306058,222.964306058,223.889495307,223.889495307,222.88545027,222.88545027
2039,229.569527478,229.569527478,228.36399897,228.36399897,229.569527478,229.569527478,228.36399897,228.36399897,229.667324686,229.667324686,228.648643325,228.648643325,229.634733281,229.634733281,228.554198829,228.554198829
2040,235.395270273,235.395270273,234.107423399,234.107423399,235.395270273,235.395270273,234.107423399,234.107423399,235.500131411,235.500131411,234.412797495,234.412797495,235.461473445,235.461473445,234.300754468,234.300754468
2041,241.370182054,241.370182054,239.997287292,239.997287292,241.370182054,241.370182054,239.997287292,239.997287292,241.482032728,241.482032728,240.323204076,240.323204076,241.436561598,241.436561598,240.191391862,240.191391862
2042,247.430782399,247.430782399,245.970355806,245.970355806,247.430782399,247.430782399,245.970355806,245.970355806,247.549493093,247.549493093,246.316469193,246.316469193,247.496429837,247.496429837,246.162621891,246.162621891
2043,253.576883058,253.576883058,252.026367812,252.026367812,253.576883058,253.576883058,252.026367812,252.026367812,253.702296673,253.702296673,252.392252775,252.392252775,253.640824495,253.640824495,252.213993209,252.213993209
2044,259.808308665,259.808308665,258.165072128,258.165072128,259.808308665,259.808308665,258.165072128,258.165072128,259.940242799,259.940242799,258.550231319,258.550231319,259.869509299,259.869509299,258.345077346,258.345077346
2045,266.124896717,266.124896717,264.386228011,264.386228011,266.124896717,266.124896717,264.386228011,264.386228011,266.263145819,266.263145819,264.790097996,264.790097996,266.182265395,266.182265395,264.555469329,264.555469329
2046,272.61456156,272.61456156,270.777063852,270.777063852,272.61456156,272.61456156,270.777063852,270.777063852,272.758945102,272.758945102,271.199155999,271.199155999,272.666969457,272.666969457,270.932288446,270.932288446
2047,279.193050807,279.193050807,277.253778503,277.253778503,279.193050807,279.193050807,277.253778503,277.253778503,279.343320433,279.343320433,277.693407772,277.693407772,279.239293122,279.239293122,277.391511325,277.391511325
2048,285.860060923,285.860060923,283.816004287,283.816004287,285.860060923,285.860060923,283.816004287,283.816004287,286.015943771,286.015943771,284.272415577,284.272415577,285.898882461,285.898882461,283.93262283,283.93262283
2049,292.615305314,292.615305314,290.46338592,290.46338592,292.615305314,292.615305314,290.46338592,290.46338592,292.776506857,292.776506857,290.935762322,290.935762322,292.645406063,292.645406063,290.555136283,290.555136283
2050,299.458514386,299.458514386,297.195581358,297.195581358,299.458514386,299.458514386,297.195581358,297.195581358,299.624721025,299.624721025,297.683051688,297.683051688,299.478554817,299.478554817,297.258593521,297.258593521
2051,306.501700176,306.501700176,304.123640839,304.123640839,306.501700176,306.501700176,304.123640839,304.123640839,306.672643909,306.672643909,304.625469563,304.625469563,306.510305479,306.510305479,304.153942914,304.153942914
2052,313.63808095,313.63808095,311.141481601,311.141481601,313.63808095,313.63808095,311.141481601,311.141481601,313.81341665,313.81341665,311.656708942,311.656708942,313.63382625,313.63382625,311.134954135,311.134954135
2053,320.867207219,320.867207219,318.248588211,318.248588211,320.867207219,320.867207219,318.248588211,318.248588211,321.046570716,321.046570716,318.776200254,318.776200254,320.848621266,320.848621266,318.200979648,318.200979648
